"filename", "language", "JavaScript", "JSON", "TypeScript", "PostCSS", "Markdown", "HTML", "JSON with Comments", "Svelte", "XML", "comment", "blank", "total"
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAIS_TEMPLATE.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 8, 115
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAISxAiExp.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 11, 107
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAISxDomFam.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 9, 97
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\Misc.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 136, 0, 7, 13, 156
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\SUB\Order.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\SUB\TIME_OF_COMPLETIONS.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 5, 72
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\SUB\TIME_TO_COMPLETIONS.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 7, 72
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\SUB\WhichBackground.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 129, 0, 4, 11, 144
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\NASA\NASA_TLX.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 2, 13
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\NASA\SUB\A_VS_B_NASA.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 13, 198
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\NASA\SUB\MetricsNasa.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 65, 0, 1, 7, 73
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\NASA\SUB\RADAR_NASA_TLX.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 8, 88
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\Overall.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 83, 0, 1, 8, 92
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\Calc.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 6
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUBEVAL\TaskXDomain.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 10, 110
